Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Composite breakdown,Source details,COMMENT_OBS,Observation-level footnotes,Value
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,Urban,,Upper secondary education,,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.0
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Female,Urban,,Upper secondary education,,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NIL for the submitting nation.,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.0
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.15029
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.2916
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.45905
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.33312
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.38012
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.44502
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Primary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.36327
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.05492
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.11474
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.25439
2016,C,Senegal DHS 2015-16. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.15891
2017,C,Senegal DHS 2017. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.17608
2018,C,Senegal DHS 2018. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.28768
2019,C,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Lower secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.22872
2005,C,Senegal DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NIL for the submitting nation.,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.0
2011,C,Senegal DHS 2010-11. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.07391
2015,C,Senegal DHS 2015. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Male,,,Upper secondary education,,Senegal DHS 2019. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NIL for the submitting nation.,0.06334
